CHANNEL,TEST,OUTCOME,MODEL_VARIANT,EXPECTED_SIGN,MODEL_STATUS,COEFFICIENT,STANDARD_ERROR,T_STATISTIC,P_VALUE,CI_LOWER_95,CI_UPPER_95,N_OBSERVATIONS,N_ETFS,N_DATES,COVARIANCE_METHOD,MONTH_FE,COVARIANCE_STATUS,TARGET_VARIANCE,NEGATIVE_DIAGONAL_COUNT,ZERO_DIAGONAL_COUNT,NONFINITE_COV_ELEMENTS,MIN_COV_EIGENVALUE,REGRESSORS,DESIGN_RANK,N_REGRESSORS,CONDITION_NUMBER,WITHIN_ITERATIONS,WITHIN_CONVERGENCE,DF_INFERENCE,HOLM_P_WITHIN_OUTCOME_TEST,BH_Q_WITHIN_OUTCOME_TEST,EXPECTED_SIGN_MATCH
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,CRASH_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,0.02917125984724311,0.019036220076920764,1.5324082054824488,0.1270763907318762,-0.008376960683326554,0.06671948037781278,1777,23,192,DATE_CLUSTER,False,VALID,0.00036237767481696125,0,0,0,4.5489374793493114e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,48.57442769879292,1,1.1027257391465399e-16,191,0.5083055629275048,0.5083055629275048,False
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,CRASH_Q05,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,0.02006386410769684,0.013995976599699367,1.4335451309719833,0.15333706355489304,-0.007542667744881496,0.04767039596027518,1777,23,192,DATE_CLUSTER,False,VALID,0.00019588736097933226,0,0,0,1.5239414307832856e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,48.57442769879292,1,1.1027257391465399e-16,191,0.418655295194869,0.20444941807319073,False
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.0003439351687613496,0.0012296230642793288,-0.279707805385813,0.7800043619714038,-0.00276931992479341,0.0020814495872707108,1777,23,192,DATE_CLUSTER,False,VALID,1.5119728802076863e-06,0,0,0,2.058833750809469e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,48.57442769879292,1,1.1027257391465399e-16,191,1.0,0.7800043619714038,False
INTERNAL_FINANCIAL_CAPACITY,CPU_VIX_CONTINUOUS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.001665560255478607,0.0008009710751568195,-2.079426220419398,0.03891356443623915,-0.0032454452561284097,-8.567525482880444e-05,1777,23,192,DATE_CLUSTER,False,VALID,6.415546632378713e-07,0,0,0,2.70744565637838e-08,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,48.57442769879292,1,1.1027257391465399e-16,191,0.1556542577449566,0.08945150174038673,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,CRASH_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,0.09230368028566224,0.06563497786972369,1.4063184491182767,0.16125443188564642,-0.03715881876157981,0.2217661793329043,1777,23,192,DATE_CLUSTER,False,VALID,0.004307950319959119,0,0,0,0.00034569600654675683,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.038090194764308,1,3.148859901019015e-17,191,0.6450177275425857,0.4704126265356262,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,CRASH_Q05,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,0.06168339665097049,0.060477821412457985,1.019934171078857,0.3090498259336863,-0.057606807309032435,0.1809736006109734,1777,23,192,DATE_CLUSTER,False,VALID,0.0036575668827971614,0,0,0,0.00010864268322698765,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.038090194764308,1,3.148859901019015e-17,191,0.6180996518673726,0.4120664345782484,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.0058002103794023,0.00428165902631328,-1.3546642420044754,0.17712478635519852,-0.01424562006194893,0.0026451993031443317,1777,23,192,DATE_CLUSTER,False,VALID,1.8332604017609987e-05,0,0,0,1.402528187395856e-06,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.038090194764308,1,3.148859901019015e-17,191,0.5588945396566907,0.2974621814955857,False
INTERNAL_FINANCIAL_CAPACITY,CPU_AND_VIX_STRESS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.006498256694936459,0.002992123659106679,-2.1717874778198714,0.031104102594396502,-0.012400106881207568,-0.0005964065086653501,1777,23,192,DATE_CLUSTER,False,VALID,8.952803991385942e-06,0,0,0,1.4554368523355585e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.038090194764308,1,3.148859901019015e-17,191,0.12441641037758601,0.0960732581115048,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,CRASH_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.00642972917236862,0.009827214422519055,-0.6542778956399791,0.5137198174906611,-0.025813536086079593,0.012954077741342352,883,11,192,DATE_CLUSTER,False,VALID,9.657414330616654e-05,0,0,0,2.5574230670857032e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.19006915236682,1,9.316820625676569e-17,191,1.0,0.6849597566542148,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,CRASH_Q05,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.005567417667228713,0.007972096031145107,-0.6983630961641857,0.48579954453636415,-0.021292074067436474,0.01015723873297905,883,11,192,DATE_CLUSTER,False,VALID,6.355431512979957e-05,0,0,0,5.920477088565358e-06,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.19006915236682,1,9.316820625676569e-17,191,0.48579954453636415,0.48579954453636415,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.0024877562228443205,0.0013567997132899695,-1.8335471318843415,0.06827758295428392,-0.005163992085035835,0.0001884796393471942,883,11,192,DATE_CLUSTER,False,VALID,1.8409054619837437e-06,0,0,0,5.587030922408127e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.19006915236682,1,9.316820625676569e-17,191,0.2731103318171357,0.25924454242982614,True
EXTERNAL_FINANCING_DEPENDENCE,CPU_VIX_CONTINUOUS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,0.0005499420730684467,0.0004694055684273063,1.1715712596059937,0.24282862781116973,-0.00037594256843948666,0.00147582671457638,883,11,192,DATE_CLUSTER,False,VALID,2.2034158767056257e-07,0,0,0,1.3787533453206344e-08,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,71.19006915236682,1,9.316820625676569e-17,191,0.24282862781116973,0.24282862781116973,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,CRASH_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.036895454291472736,0.045198650765858224,-0.8162954793186551,0.41534805483181014,-0.12604807491589073,0.052257166332945255,883,11,192,DATE_CLUSTER,False,VALID,0.0020429180310540165,0,0,0,0.0001415429057488358,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,36.21488107687065,1,5.733428077339427e-17,191,0.8306961096636203,0.5537974064424135,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,CRASH_Q05,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,-0.016556828877413828,0.040476522454576655,-0.40904771144789287,0.6829629475486862,-0.0963952308970253,0.06328157314219764,883,11,192,DATE_CLUSTER,False,VALID,0.0016383488700158482,0,0,0,7.212265834142208e-05,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,36.21488107687065,1,5.733428077339427e-17,191,0.6829629475486862,0.6829629475486862,False
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.0008775614867514636,0.006844694849448205,-0.12821046168657316,0.8981173150314831,-0.01437846190884345,0.012623338935340525,883,11,192,DATE_CLUSTER,False,VALID,4.684984758206278e-05,0,0,0,3.0151465372013472e-06,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,36.21488107687065,1,5.733428077339427e-17,191,0.8981173150314831,0.8981173150314831,True
EXTERNAL_FINANCING_DEPENDENCE,CPU_AND_VIX_STRESS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,0.002317875915459222,0.0021924387287493197,1.0572135426477611,0.2917494426183072,-0.0020066261418923556,0.0066423779728107995,883,11,192,DATE_CLUSTER,False,VALID,4.806787579319934e-06,0,0,0,2.4336543977597547e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,36.21488107687065,1,5.733428077339427e-17,191,0.2917494426183072,0.2917494426183072,False
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,CRASH_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.023488847895885047,0.020838931537905944,1.1271618150459832,0.26108811709888424,-0.0176151524699956,0.0645928482617657,965,13,192,DATE_CLUSTER,False,VALID,0.000434261067641531,0,0,0,4.3961111018724854e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,50.650017732853755,1,1.0734073388344778e-16,191,0.7832643512966527,0.5221762341977685,True
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,CRASH_Q05,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.026131829891015614,0.017613279297326125,1.48364364465524,0.13955176506495634,-0.008609694038113899,0.060873353820145124,965,13,192,DATE_CLUSTER,False,VALID,0.000310227607605617,0,0,0,2.3544573296939205e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,50.650017732853755,1,1.0734073388344778e-16,191,0.418655295194869,0.20444941807319073,True
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.00041440388295037973,0.0014212907110051295,-0.2915686986072789,0.7709328257677257,-0.0032178457868172116,0.002389038020916452,965,13,192,DATE_CLUSTER,False,VALID,2.0200672851894666e-06,0,0,0,3.23091021695036e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,50.650017732853755,1,1.0734073388344778e-16,191,1.0,0.7800043619714038,True
GROWTH_DURATION_EXPOSURE_FINAL,CPU_VIX_CONTINUOUS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.001845472361542568,0.0009133638916823922,-2.020522574133357,0.04472575087019336,-0.003647047920711943,-4.3896802373193143e-05,965,13,192,DATE_CLUSTER,False,VALID,8.342335986292048e-07,0,0,0,5.039680338710129e-08,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,50.650017732853755,1,1.0734073388344778e-16,191,0.1556542577449566,0.08945150174038673,True
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,CRASH_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.08962600728305865,0.07526479445156152,1.1908091682989932,0.2352063132678131,-0.05883093894028853,0.23808295350640585,965,13,192,DATE_CLUSTER,False,VALID,0.0056647892838358055,0,0,0,0.0005122316047343439,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.839362058115444,1,1.2313121161710608e-16,191,0.7056189398034394,0.4704126265356262,True
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,CRASH_Q05,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.09898237417458873,0.07686857166283918,1.2876832759264094,0.19941425351365896,-0.05263796163805849,0.25060270998723594,965,13,192,DATE_CLUSTER,False,VALID,0.005908777309485043,0,0,0,0.00015284944877156742,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.839362058115444,1,1.2313121161710608e-16,191,0.5982427605409769,0.3988285070273179,True
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.007272673393366057,0.004904041252849101,-1.4829959656519718,0.13972363491417267,-0.016945708360861282,0.0024003615741291662,965,13,192,DATE_CLUSTER,False,VALID,2.4049620609645773e-05,0,0,0,1.477547433155767e-06,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.839362058115444,1,1.2313121161710608e-16,191,0.5588945396566907,0.2974621814955857,True
GROWTH_DURATION_EXPOSURE_FINAL,CPU_AND_VIX_STRESS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.008460039525981365,0.004251645175138292,-1.9898272733227762,0.0480366290557524,-0.016846248027918804,-7.383102404392647e-05,965,13,192,DATE_CLUSTER,False,VALID,1.8076486695276716e-05,0,0,0,2.0164724663069538e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.839362058115444,1,1.2313121161710608e-16,191,0.1441098871672572,0.0960732581115048,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,CRASH_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.001996010128433791,0.01115729557190649,0.17889730675053944,0.8582079599995981,-0.02001133129574978,0.02400335155261736,1828,24,192,DATE_CLUSTER,False,VALID,0.00012448524447888416,0,0,0,2.4795867422750577e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,49.65159632143974,1,1.0330904621922272e-16,191,1.0,0.8582079599995981,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,CRASH_Q05,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.016613286965834053,0.009754039679592017,1.7032211792815812,0.09015324421922244,-0.002626185548842346,0.03585275948051045,1828,24,192,DATE_CLUSTER,False,VALID,9.514129007105553e-05,0,0,0,1.0488503429342433e-05,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,49.65159632143974,1,1.0330904621922272e-16,191,0.36061297687688976,0.20444941807319073,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.0014621764720047549,0.0009605916871349425,-1.5221623209813917,0.12962227121491307,-0.003356907062564786,0.0004325541185552762,1828,24,192,DATE_CLUSTER,False,VALID,9.227363893927551e-07,0,0,0,2.3725080162841594e-07,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,49.65159632143974,1,1.0330904621922272e-16,191,0.3888668136447392,0.25924454242982614,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_VIX_CONTINUOUS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.0009137705264835595,0.0005071237618351239,-1.8018688834001917,0.07314296261041539,-0.0019140528708111015,8.651181784398237e-05,1828,24,192,DATE_CLUSTER,False,VALID,2.571745098178075e-07,0,0,0,1.6428190669178945e-08,CPU_Z|VIX_LEVEL_Z|CPU_X_VIX|CPU_X_ARCH|VIX_X_ARCH|CPU_VIX_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,49.65159632143974,1,1.0330904621922272e-16,191,0.1556542577449566,0.09752395014722053,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,CRASH_Q10,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.02168602251890413,0.05704684429115953,0.38014412170148354,0.7042608250884662,-0.09083670948157667,0.13420875451938494,1828,24,192,DATE_CLUSTER,False,VALID,0.003254342443579801,0,0,0,0.0002562980468853524,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.644554741818826,1,3.255358540476389e-17,191,0.8306961096636203,0.7042608250884662,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,CRASH_Q05,ETF_FE_DATE_CLUSTER,POSITIVE,RELIABLE_ESTIMATE,0.06908841568891794,0.045657743997805436,1.5131806707803765,0.13188669333872693,-0.020969748885275308,0.15914658026311118,1828,24,192,DATE_CLUSTER,False,VALID,0.0020846295869691384,0,0,0,8.41615331277981e-05,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.644554741818826,1,3.255358540476389e-17,191,0.5275467733549077,0.3988285070273179,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,DOWNSIDE_RETURN,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.00509182996682345,0.004165743361589497,-1.2223100476551183,0.22309663612168926,-0.013308600406683819,0.0031249404730369183,1828,24,192,DATE_CLUSTER,False,VALID,1.7353417754626957e-05,0,0,0,1.209892557283084e-06,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.644554741818826,1,3.255358540476389e-17,191,0.5588945396566907,0.2974621814955857,True
PORTFOLIO_CONCENTRATION_FINAL,CPU_AND_VIX_STRESS,TAIL_SHORTFALL_Q10,ETF_FE_DATE_CLUSTER,NEGATIVE,RELIABLE_ESTIMATE,-0.003939709099377335,0.0023989653381026486,-1.6422534485192966,0.10218287175358888,-0.008671577043553855,0.0007921588447991857,1828,24,192,DATE_CLUSTER,False,VALID,5.755034693417954e-06,0,0,0,1.0875577686266522e-07,HIGH_CPU_REGIME|HIGH_VIX_REGIME|JV_AB|JV_A_X_ARCH|JV_B_X_ARCH|JV_AB_X_ARCH|MARKET_RETURN|ENERGY_RETURN|TREASURY_RETURN|VIX_CHANGE,10,10,25.644554741818826,1,3.255358540476389e-17,191,0.20436574350717776,0.13624382900478518,True
